codigo;descricao;tipo;unidade;status;custo_padrao;estoque_atual;estoque_seguranca;lote_minimo;lead_time_dias;codigo_legado;referencia_legado;unidade_sugerida;revisar;motivo_revisao
MP-161;FERRAGEM SUB 101000-31052023 4OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;161;FERRAG - 101000-31052023;;SIM;Referencia identica a MP-160 no legado (uma e 4 OHMS a outra 8 OHMS) - criar referencias distintas
MP-162;FERRAGEM SLS-19514-05062025 12" SW 2000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;162;FERRAG - SLS-19514-05062025;;NAO;
MP-163;CENTRAGEM PRD02489 - AF 6X9 DARK260;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;163;CENT - PRD02489;;NAO;
MP-164;CENTRAGEM PRD02843 - AF 6X9 MB250;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;164;CENT - PRD02843;;NAO;
MP-165;FERRAGEM SLS-17514-05062025 12SW1500;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;165;FERRAG - SLS-17514-05062025;;NAO;
MP-166;CENTRAGEM PRD02858 - AF 12SW700;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;166;CENT - PRD02858;;NAO;
MP-167;FERRAGEM MB3 - AF 6MB300;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;167;FERRAG - MB3;;NAO;
MP-168;FERRAGEM MB2 - AF 8MB300X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;168;FERRAG - MB2;;NAO;
MP-169;CENTRAGEM PRD02859 - AF SUB 12" 600;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;169;CENT - PRD02859;;NAO;
MP-170;CENTRAGEM PRD02882 - AF SUB 10" 1000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;170;CENT - PRD02882;;NAO;
MP-171;CENTRAGEM PRD03043 - AF 6WF200 / 6MB230X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;171;CENT - PRD03043;;NAO;
MP-172;CENTRAGEM PRD03110 - AF SUB DARK15;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;172;CENT - PRD03110;;NAO;
MP-173;CENTRAGEM PRD05358 - AF 8MB300X;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;173;CENT - PRD05358;;NAO;
MP-174;CENTRAGEM PRD05604 TRIPLA - AF SUB 12" 1500;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;174;CENT - PRD05604 TRIPLA;;NAO;
MP-175;CENTRAGEM PRD05816 - AF 12" SW2000;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;175;CENT - PRD05816;;NAO;
MP-176;CENTRAGEM PRD06005 - AF 12" SW1500 8 OHMS;MATERIA_PRIMA;UN;ATIVO;0;0;0;0;0;176;CENT - PRD06005;;NAO;
